experiment,target,peer_key,lat_band,elev_band,split,arm,net_benefit_mean,ci_lo,ci_hi,ci_excludes_zero,folds_scored,folds_attempted,precision_at_25_mean,spearman_mean,git_sha,dirty
E04-band-sweep,level_z,geo_month,90.0,2000.0,spatial,climatology,0.0,0.0,0.0,False,4,4,0.12516222733980212,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,90.0,2000.0,spatial,linear,-0.01903668399047152,-0.047223270533071335,0.001298124496900651,False,4,4,0.32,0.30269381295217446,db654a6,False
E04-band-sweep,level_z,geo_month,90.0,2000.0,spatial,boosted,0.010386271525192465,0.003658755503486327,0.020876190171091744,True,4,4,0.4,0.30973295460936034,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,1000.0,spatial,zero,0.0,0.0,0.0,False,4,4,0.2255533182424429,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,1000.0,spatial,persistence,0.03172948626457606,-0.09476566891753258,0.1582246414466847,False,4,4,0.32,0.28816513647654013,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,1000.0,spatial,climatology,0.0,0.0,0.0,False,4,4,0.2255533182424429,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,1000.0,spatial,linear,0.040353595557471054,-0.007241709132596672,0.09403093559459252,False,4,4,0.30000000000000004,0.21296325906477123,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,1000.0,spatial,boosted,0.02175899687723641,-0.0050614926497901305,0.05418389549715586,False,4,4,0.26,0.14918574457713957,db654a6,False
E04-band-sweep,within_xy,geo_month,90.0,2000.0,spatial,zero,0.0,0.0,0.0,False,4,4,0.19600575144128132,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,90.0,2000.0,spatial,persistence,-0.0019009094314271016,-0.11856899540902682,0.1147671765461726,False,4,4,0.35,0.25663274861396923,db654a6,False
E04-band-sweep,within_xy,geo_month,90.0,2000.0,spatial,climatology,0.0,0.0,0.0,False,4,4,0.19600575144128132,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,90.0,2000.0,spatial,linear,0.02352500590945176,-0.017318929622112334,0.08078350807669564,False,4,4,0.28,0.1540200203262869,db654a6,False
E04-band-sweep,within_xy,geo_month,90.0,2000.0,spatial,boosted,0.018624916326069805,-0.0049646238018200665,0.05134555313772287,False,4,4,0.25,0.18293393737581512,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,1000.0,spatial,zero,0.0,0.0,0.0,False,2,4,0.10723352212683598,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,1000.0,spatial,persistence,-0.03547328987520631,-0.081145584725537,0.010199004975124382,False,2,4,0.52,0.5377844326579924,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,1000.0,spatial,climatology,0.0,0.0,0.0,False,2,4,0.10723352212683598,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,1000.0,spatial,linear,-0.010312696659898594,-0.03579952267303102,0.015174129353233833,False,2,4,0.54,0.5056256932231148,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,1000.0,spatial,boosted,0.017560170507842646,0.006762132060461414,0.02835820895522388,True,2,4,0.52,0.4470961091393556,db654a6,False
E04-band-sweep,within_xy,geo_month,10.0,2000.0,spatial,zero,0.0,0.0,0.0,False,4,4,0.1370783766970627,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,10.0,2000.0,spatial,persistence,-0.021763637284911902,-0.07666625202751517,0.03313897745769137,False,4,4,0.3,0.2567740131890459,db654a6,False
E04-band-sweep,within_xy,geo_month,10.0,2000.0,spatial,climatology,0.0,0.0,0.0,False,4,4,0.1370783766970627,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,10.0,2000.0,spatial,linear,0.009128340497067266,-0.006064800368818013,0.026510977609437304,False,4,4,0.29000000000000004,0.20518947935402782,db654a6,False
E04-band-sweep,within_xy,geo_month,10.0,2000.0,spatial,boosted,0.005741192773703509,-0.006689490653686078,0.023511623499009576,False,4,4,0.25,0.20326758372249557,db654a6,False
E04-band-sweep,level_z,geo_month,90.0,500.0,spatial,zero,0.0,0.0,0.0,False,4,4,0.13031273169565166,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,90.0,500.0,spatial,persistence,-0.014010852296328986,-0.06274895669774573,0.020786486775886074,False,4,4,0.35000000000000003,0.3243735404291955,db654a6,False
E04-band-sweep,level_z,geo_month,90.0,500.0,spatial,climatology,0.0,0.0,0.0,False,4,4,0.13031273169565166,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,90.0,500.0,spatial,linear,-0.01325580529571828,-0.05780282397950912,0.016888183959738727,False,4,4,0.34,0.28485556376652793,db654a6,False
E04-band-sweep,level_z,geo_month,90.0,500.0,spatial,boosted,0.007693105240828269,0.0009313541778206091,0.017207250082213608,True,4,4,0.41000000000000003,0.3087872282251607,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,500.0,spatial,zero,0.0,0.0,0.0,False,2,4,0.0854520500943558,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,500.0,spatial,persistence,-0.06757305426888545,-0.14559386973180075,0.010447761194029855,False,2,4,0.27999999999999997,0.48843313498583285,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,500.0,spatial,climatology,0.0,0.0,0.0,False,2,4,0.0854520500943558,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,500.0,spatial,linear,-0.051302396065648764,-0.11877394636015326,0.016169154228855724,False,2,4,0.32,0.4529628270950031,db654a6,False
E04-band-sweep,level_z,geo_month,5.0,500.0,spatial,boosted,0.0029336078229541956,-0.022988505747126436,0.028855721393034828,False,2,4,0.22,0.4174302680374572,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,500.0,spatial,zero,0.0,0.0,0.0,False,4,4,0.25409465403070025,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,500.0,spatial,persistence,0.07713319069420224,-0.05056628964201185,0.24039422493486096,False,4,4,0.43,0.2818725186771147,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,500.0,spatial,climatology,0.0,0.0,0.0,False,4,4,0.25409465403070025,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,500.0,spatial,linear,0.05669135034194938,-0.005073378714683064,0.14826768122925366,False,4,4,0.39999999999999997,0.2288416321837251,db654a6,False
E04-band-sweep,within_xy,geo_month,20.0,500.0,spatial,boosted,0.029599057236061654,-0.012919045527741178,0.08339663599688181,False,4,4,0.39,0.1848573409040614,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,2000.0,spatial,zero,0.0,0.0,0.0,False,2,4,0.12510878676725773,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,2000.0,spatial,persistence,-0.022990619739430417,-0.10182975338106602,0.05584851390220519,False,2,4,0.4,0.34035680870591967,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,2000.0,spatial,climatology,0.0,0.0,0.0,False,2,4,0.12510878676725773,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,2000.0,spatial,linear,0.01723254854311541,-0.006762132060461416,0.04122722914669224,False,2,4,0.36,0.30617259284646675,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,2000.0,spatial,boosted,0.014797383930907342,-0.0075576770087509935,0.037152444870565675,False,2,4,0.33999999999999997,0.2824364655275048,db654a6,False
E04-band-sweep,level_z,geo_month,20.0,1000.0,spatial,zero,0.0,0.0,0.0,False,4,4,0.12516222733980212,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,20.0,1000.0,spatial,persistence,-0.027180314461340463,-0.06967545350278723,0.008345601053111915,False,4,4,0.28,0.3833159085028963,db654a6,False
E04-band-sweep,level_z,geo_month,20.0,1000.0,spatial,climatology,0.0,0.0,0.0,False,4,4,0.12516222733980212,0.0,db654a6,False
E04-band-sweep,level_z,geo_month,20.0,1000.0,spatial,linear,-0.01398847524390525,-0.03827918778515227,0.003738957449972058,False,4,4,0.32,0.31334924142720433,db654a6,False
E04-band-sweep,level_z,geo_month,20.0,1000.0,spatial,boosted,0.006611537225361336,-0.0019553047105818726,0.01566824852880892,False,4,4,0.37,0.2970845978664263,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,500.0,spatial,zero,0.0,0.0,0.0,False,2,4,0.2149024989992566,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,500.0,spatial,persistence,0.017228512609366947,-0.13793103448275862,0.1723880597014925,False,2,4,0.27999999999999997,0.25996697825487924,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,500.0,spatial,climatology,0.0,0.0,0.0,False,2,4,0.2149024989992566,0.0,db654a6,False
E04-band-sweep,within_xy,geo_month,5.0,500.0,spatial,linear,0.05963858866586608,-0.009578544061302683,0.12885572139303483,False,2,4,0.32,0.24212851076051706,db654a6,False
