experiment,file,target,peer_key,lat_band,elev_band,split,fold,peer_coverage,arm,net_benefit,precision_at_25,spearman,n,event_rate,git_sha,dirty,seed,content_hash
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Benue_River_Basin,1.0,climatology,0.0,0.13427561837455831,0.0,566,0.13427561837455831,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Benue_River_Basin,1.0,linear,-0.00574204946996467,0.04,0.17571609460660825,566,0.13427561837455831,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Benue_River_Basin,1.0,boosted,-0.0013250883392226138,0.24,0.2015922057836156,566,0.13427561837455831,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kaduna_Grain_Belt,1.0,zero,0.0,0.11025886864813039,0.0,1043,0.11025886864813039,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kaduna_Grain_Belt,1.0,persistence,-0.033796740172579096,0.32,0.5319334957643941,1043,0.11025886864813039,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kaduna_Grain_Belt,1.0,climatology,0.0,0.11025886864813039,0.0,1043,0.11025886864813039,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kaduna_Grain_Belt,1.0,linear,-0.009108341323106423,0.4,0.40225743967213395,1043,0.11025886864813039,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kaduna_Grain_Belt,1.0,boosted,0.021332694151486097,0.4,0.4851659059098598,1043,0.11025886864813039,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kano_Sudan_Savannah,1.0,zero,0.0,0.10103420843277645,0.0,1257,0.10103420843277645,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kano_Sudan_Savannah,1.0,persistence,-0.09069212410501194,0.48,0.4475170140274006,1257,0.10103420843277645,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kano_Sudan_Savannah,1.0,climatology,0.0,0.10103420843277645,0.0,1257,0.10103420843277645,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kano_Sudan_Savannah,1.0,linear,-0.04912490055688147,0.52,0.39082257192290454,1257,0.10103420843277645,db654a6,False,42,6c832dc27417
