lat_band,elev_band,target,arm,net_benefit_mean,ci_lo,ci_hi,folds_scored,folds_attempted,donor_Benue_River_Basin,donor_Kaduna_Grain_Belt,donor_Kano_Sudan_Savannah,donor_Kenya_Rift_Valley,cov_Benue_River_Basin,cov_Kaduna_Grain_Belt,cov_Kano_Sudan_Savannah,cov_Kenya_Rift_Valley
10.0,500.0,within_xy,zero,0.0,0.0,0.0,2,4,0,282,1098,0,0.0,0.9640035118525022,0.20842572062084258,0.0
10.0,500.0,within_xy,persistence,0.017228512609366947,-0.13793103448275862,0.1723880597014925,2,4,0,282,1098,0,0.0,0.9640035118525022,0.20842572062084258,0.0
10.0,500.0,within_xy,climatology,0.0,0.0,0.0,2,4,0,282,1098,0,0.0,0.9640035118525022,0.20842572062084258,0.0
10.0,500.0,within_xy,linear,0.05963858866586608,-0.009578544061302683,0.12885572139303483,2,4,0,282,1098,0,0.0,0.9640035118525022,0.20842572062084258,0.0
10.0,500.0,within_xy,boosted,0.02365614456453365,-0.007662835249042146,0.05497512437810945,2,4,0,282,1098,0,0.0,0.9640035118525022,0.20842572062084258,0.0
10.0,1000.0,level_z,zero,0.0,0.0,0.0,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,level_z,persistence,0.03191085161693208,-0.058558193519277116,0.15454741556413837,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,level_z,climatology,0.0,0.0,0.0,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,level_z,linear,0.016266882797827502,-0.040250568547582306,0.0861848069415922,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,level_z,boosted,0.013218642587477649,-0.0011573000385122472,0.027594585213467547,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,within_xy,zero,0.0,0.0,0.0,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,within_xy,persistence,0.144758293437021,-0.08649469945051895,0.5079556660366507,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,within_xy,climatology,0.0,0.0,0.0,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,within_xy,linear,0.15801963306417557,-0.0035799522673031032,0.44920494699646646,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,1000.0,within_xy,boosted,0.07215803136963127,-0.015406745481119682,0.2104559871082363,4,4,36,1353,1098,647,1.0,0.9640035118525022,1.0,0.024708304735758406
10.0,2000.0,level_z,zero,0.0,0.0,0.0,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,level_z,persistence,-0.023541654163182584,-0.06046071329178508,0.013377404965419913,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,level_z,climatology,0.0,0.0,0.0,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,level_z,linear,-0.012504176419166348,-0.03967341193204978,0.014665059093717087,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,level_z,boosted,0.005948908720435766,-0.003891370867312659,0.01723159608778739,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,within_xy,zero,0.0,0.0,0.0,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,within_xy,persistence,-0.021763637284911902,-0.07666625202751517,0.03313897745769137,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,within_xy,climatology,0.0,0.0,0.0,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,within_xy,linear,0.009128340497067266,-0.006064800368818013,0.026510977609437304,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
10.0,2000.0,within_xy,boosted,0.005741192773703509,-0.006689490653686078,0.023511623499009576,4,4,612,1353,1139,647,1.0,1.0,1.0,0.4200411805078929
20.0,500.0,level_z,zero,0.0,0.0,0.0,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,level_z,persistence,-0.014010852296328986,-0.06274895669774573,0.020786486775886074,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,level_z,climatology,0.0,0.0,0.0,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,level_z,linear,-0.01325580529571828,-0.05780282397950912,0.016888183959738727,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,level_z,boosted,0.007693105240828269,0.0009313541778206091,0.017207250082213608,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,within_xy,zero,0.0,0.0,0.0,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,within_xy,persistence,0.07713319069420224,-0.05056628964201185,0.24039422493486096,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,within_xy,climatology,0.0,0.0,0.0,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,within_xy,linear,0.05669135034194938,-0.005073378714683064,0.14826768122925366,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,500.0,within_xy,boosted,0.029599057236061654,-0.012919045527741178,0.08339663599688181,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
20.0,1000.0,level_z,zero,0.0,0.0,0.0,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,1000.0,level_z,persistence,-0.027180314461340463,-0.06967545350278723,0.008345601053111915,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,1000.0,level_z,climatology,0.0,0.0,0.0,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,1000.0,level_z,linear,-0.01398847524390525,-0.03827918778515227,0.003738957449972058,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,1000.0,level_z,boosted,0.006611537225361336,-0.0019553047105818726,0.01566824852880892,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,1000.0,within_xy,zero,0.0,0.0,0.0,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,1000.0,within_xy,persistence,0.03172948626457606,-0.09476566891753258,0.1582246414466847,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
