hhid,intervention_level,predicted_intervention_level,risk_score,yield,land_size,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,transport_cost,received_credit,zone
19082,1,1,0.5,0.08374565865324468,4046.86,1,1,16.0,0,2.0,24.0,5000.0,0.0,3
19084,1,1,0.5,0.09857705670932267,0.0,6,1,26.0,0,2.0,24.0,7000.0,0.0,3
19085,0,0,0.0,0.21556326955318675,3150.0,2,1,28.0,0,2.0,16.0,700.0,0.0,3
19087,1,1,0.5,0.18362804985585715,0.0,3,0,26.0,0,2.0,8.0,0.0,0.0,3
19088,0,0,0.0,0.34627371013042973,2250.0,4,1,41.0,0,0.0,34.0,700.0,0.0,3
19089,0,0,0.0,0.08078125217439029,1800.0,3,1,26.0,0,0.0,20.0,700.0,0.0,3
19091,0,0,0.0,0.06372358126526712,450.0,1,1,16.0,0,2.0,14.0,0.0,0.0,3
19092,1,0,0.0,0.2217768975125815,900.0,5,1,26.0,0,2.0,24.0,2500.0,0.0,3
19093,1,1,0.5,0.11890759943513096,900.0,1,1,16.0,0,2.0,13.0,4000.0,0.0,3
19094,2,2,1.0,0.045821738052621644,1450.0,5,1,26.0,0,2.0,32.0,3000.0,0.0,3
19095,1,1,0.5,0.08243010288945468,1400.0,8,0,26.0,0,2.0,25.0,0.0,0.0,3
19096,2,2,1.0,0.05020720433535225,1350.0,1,1,16.0,0,2.0,11.0,3200.0,0.0,3
19097,0,0,0.0,0.08494864802143103,1350.0,6,0,16.0,0,2.0,10.0,0.0,0.0,3
19098,0,0,0.0,0.07679241555326385,900.0,1,0,14.0,0,2.0,7.0,0.0,0.0,3
19099,2,1,0.5,0.044396234120898145,900.0,4,0,42.0,0,2.0,23.0,0.0,0.0,3
19100,1,0,0.0,0.07173851539045259,3600.0,6,0,26.0,0,0.0,21.0,0.0,0.0,3
19101,0,0,0.0,0.0633814898729851,3600.0,2,0,13.0,0,1.0,11.0,0.0,0.0,3
19103,1,1,0.5,0.1812283253160309,1800.0,1,0,26.0,0,2.0,8.0,0.0,0.0,3
19104,0,0,0.0,0.14917163977207343,4500.0,5,0,15.0,0,2.0,17.0,0.0,0.0,3
19105,1,1,0.5,0.03144924586065429,2100.0,6,0,25.0,0,0.0,21.0,0.0,0.0,3
19106,2,2,1.0,0.030558822136394256,1450.0,4,0,26.0,0,2.0,18.0,0.0,0.0,3
19107,0,0,0.0,0.05448106782892945,950.0,2,0,1.0,0,2.0,7.0,0.0,0.0,3
19110,1,1,0.5,0.11811355825195854,450.0,1,0,13.0,0,0.0,8.0,0.0,0.0,3
19112,0,0,0.0,0.14869706156126977,3150.0,2,0,27.0,0,1.0,15.0,0.0,0.0,3
19116,1,1,0.5,0.010315187973079893,900.0,1,0,0.0,0,1.0,13.0,0.0,0.0,3
19117,2,2,1.0,0.04780045046608944,1800.0,3,1,26.0,0,2.0,20.0,4000.0,0.0,3
19119,1,1,0.5,0.056621471841038606,1550.0,7,0,26.0,0,2.0,21.0,0.0,0.0,3
19120,1,1,0.5,0.09276918904712046,1400.0,1,0,13.0,0,2.0,12.0,0.0,0.0,3
19122,0,0,0.0,0.12091167402212684,150.0,5,0,26.0,0,1.0,10.0,0.0,0.0,3
19123,0,0,0.0,0.15298317185109636,50.0,2,0,43.0,0,0.0,5.0,2.0,0.0,3
19124,1,1,0.5,0.24218824199829042,100.0,3,0,16.0,0,0.0,5.0,0.0,0.0,3
