hhid,intervention_level,predicted_intervention_level,risk_score,yield_original,land_size_original,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,postharvest_activity_score,crop_loss_risk_score,digital_access_score,market_access_score,transport_cost,received_credit,zone
10005,0,0,0.12099833052006932,0.01895742718107015,100.0,0.03877832716652424,1,42.0,0,2.0,1.6159565886306564,-0.5419327063522275,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,3
10009,0,0,0.03306511470079737,0.03153929192670413,200.0,0.03877832716652424,0,43.0,0,0.0,2.5193520688920925,-0.3062660293261461,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10055,0,0,0.13928052605194263,0.020462060767261602,450.0,-0.2582201692163416,0,42.0,0,2.0,1.8418054586960155,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10061,0,0,0.09887514998564301,0.6397619086444026,1800.0,0.03877832716652424,1,26.0,0,2.0,0.8254855434019003,0.4007340017520981,-0.13107973067417975,0.0,3.0,0.07070633686027739,0.0,3
10062,0,0,0.07443490560839787,0.24794726204638962,900.0,-1.446214154747805,0,27.0,0,0.0,-0.6425321120229327,-0.07059935230006469,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10063,1,1,0.14285053063552247,0.018181559948043564,4500.0,-0.8522171619820733,1,23.0,0,2.0,0.03501449817314403,-0.3062660293261461,-0.13107973067417975,0.0,0.0,1.2469144515991206,0.0,3
10064,0,1,0.09445278070616336,0.0,3600.0,-0.8522171619820733,0,26.0,0,2.0,-0.1908343718922149,-1.2489327374304717,-0.13107973067417975,2.0,0.0,-0.482803364193296,0.0,3
10066,0,0,0.04855127854538855,0.048515508383718396,6750.0,-1.149215658364939,1,21.0,0,0.0,0.2608633682385029,-0.3062660293261461,-0.13107973067417975,0.0,3.0,0.9009708884406373,0.0,3
10067,1,1,0.16380571804597713,0.20348298577605203,2000.0,-0.8522171619820733,1,23.0,0,2.0,0.03501449817314403,-1.2489327374304717,-0.13107973067417975,0.0,3.0,4.014462956866987,0.0,3
10068,1,1,0.11112147844920706,0.05096524386910623,300.0,0.03877832716652424,1,26.0,0,2.0,-0.7554565470556122,-1.2489327374304717,-0.13107973067417975,0.0,3.0,0.34746118738706405,0.0,3
10069,1,1,0.14169165961438684,0.2169586695813303,1300.0,-0.5552186655992074,1,16.0,0,2.0,0.2608633682385029,-1.2489327374304717,-0.13107973067417975,0.0,3.0,2.6306887042330542,0.0,3
10070,0,0,0.06276591860621315,0.12004726015289856,900.0,-0.8522171619820733,1,26.0,0,0.0,-0.1908343718922149,-0.07059935230006469,-0.13107973067417975,0.0,3.0,0.20908376212367072,0.0,3
10072,0,0,0.041216448913795244,0.0,100.0,-0.2582201692163416,0,16.0,0,0.0,-0.7554565470556122,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10073,0,0,0.10351057042600482,0.0,100.0,-1.446214154747805,0,0.0,0,2.0,-0.9813054171209711,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10074,0,1,0.11454372266127665,0.015604664458032453,100.0,-0.5552186655992074,0,26.0,0,2.0,-0.1908343718922149,-0.5419327063522275,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10075,1,1,0.07439724777018894,0.0,100.0,-1.149215658364939,0,16.0,0,1.0,-0.5296076769902532,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10076,1,1,0.13715523311004071,0.1264651001982737,300.0,-1.149215658364939,0,16.0,0,2.0,-0.5296076769902532,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10077,1,1,0.1430600664921143,0.07172743574417215,0.0,-1.446214154747805,0,26.0,0,2.0,-0.9813054171209711,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
10078,0,0,0.054696330384314595,0.09271730727567457,200.0,-0.2582201692163416,0,25.0,0,0.0,-0.5296076769902532,-0.07059935230006469,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
